[2026-08-05T15:46:21.972Z] [debug] [vite] connecting...
[2026-08-05T15:46:21.987Z] [debug] [vite] connected.
[2026-08-05T15:46:22.123Z] [info] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold
[2026-08-05T15:48:45.674Z] [debug] [vite] hot updated: /src/ui/screens/Battle.tsx
[2026-08-05T15:49:06.527Z] [debug] [vite] hot updated: /src/index.css
[2026-08-05T15:49:23.219Z] [debug] [vite] hot updated: /src/index.css
[2026-08-05T15:51:20.807Z] [debug] [vite] connecting...
[2026-08-05T15:51:20.813Z] [debug] [vite] connected.
[2026-08-05T15:51:20.818Z] [info] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold
[2026-08-05T15:52:15.480Z] [debug] [vite] hot updated: /src/ui/screens/Title.tsx
[2026-08-05T15:52:32.786Z] [debug] [vite] connecting...
[2026-08-05T15:52:32.790Z] [debug] [vite] connected.
[2026-08-05T15:52:32.793Z] [info] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold
[2026-08-05T15:53:55.943Z] [debug] [vite] hot updated: /src/ui/screens/Title.tsx
[2026-08-05T15:54:02.513Z] [debug] [vite] hot updated: /src/ui/screens/Title.tsx
[2026-08-05T15:54:07.705Z] [debug] [vite] hot updated: /src/ui/screens/Title.tsx
[2026-08-05T15:54:25.746Z] [debug] [vite] connecting...
[2026-08-05T15:54:25.749Z] [debug] [vite] connected.
[2026-08-05T15:54:25.759Z] [info] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold
[2026-08-05T15:54:53.275Z] [debug] [vite] hot updated: /src/ui/screens/Title.tsx
[2026-08-05T15:54:59.256Z] [debug] [vite] connecting...
[2026-08-05T15:54:59.258Z] [debug] [vite] connected.
[2026-08-05T15:54:59.264Z] [info] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold
[2026-08-05T15:55:58.109Z] [debug] [vite] connecting...
[2026-08-05T15:55:58.110Z] [debug] [vite] connected.
[2026-08-05T15:55:58.116Z] [info] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold
[2026-08-05T15:56:52.082Z] [error] WebSocket connection to 'ws://localhost:5174/?token=xF2rvf0KYs6M' failed: 
[2026-08-05T15:56:52.082Z] [log] [vite] server connection lost. Polling for restart...
[2026-08-05T15:56:52.140Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:56:53.143Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:56:54.145Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:56:55.147Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:56:56.150Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:56:57.156Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:56:58.160Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:56:59.169Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:57:00.180Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:57:01.241Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:57:02.303Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:57:03.456Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:57:04.592Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:57:06.313Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:57:08.749Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:57:11.390Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
